domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670245524,False,_wsm_id_1_a7d6,/,False,a9dc9baf098a2030.1636290324.1.1636299185.1636290324
.nairobi24.co.ke,,False,_wsm_ref_1_a7d6,/,True,%5B%22%22%2C%22%22%2C1636290324%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_ses_1_a7d6,/,True,*
.nairobi24.co.ke,1636385525,False,_gid,/,False,GA1.3.660055069.1636290339
.nairobi24.co.ke,,False,__gads,/,True,ID=01de662e97705e81-22696136dacc002e:T=1636290347:RT=1636290347:S=ALNI_MbExEv1orvlY1vGxa3TXELpOmoWNA
nairobi24.co.ke,1652067064,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636299064%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_id_1_a7d6,/,True,a9dc9baf098a2030.1636290324.1.1636290354.1636290324
.nairobi24.co.ke,1699371125,False,_ga,/,False,GA1.3.1867664279.1636290339
.nairobi24.co.ke,,False,_gat_gtag_UA_80909769_7,/,True,1
nairobi24.co.ke,1636300985,False,_wsm_ses_1_a7d6,/,False,*
