domain,expiry,httpOnly,name,path,secure,value
.nairobi24.co.ke,1636368837,False,_gid,/,False,GA1.3.1725943324.1636218097
.nairobi24.co.ke,,False,__gads,/,True,ID=26ba2c18e65221aa-22137304d2cc00b1:T=1636222466:RT=1636222466:S=ALNI_MZUD-jALJE6DX-5EHarEo1H1uefHg
nairobi24.co.ke,1670177719,False,_wsm_id_1_a7d6,/,False,5c7e9deee0929245.1636222519.1.1636282495.1636222519
.nairobi24.co.ke,,False,_wsm_ref_1_a7d6,/,True,%5B%22%22%2C%22%22%2C1636222519%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_ses_1_a7d6,/,True,*
nairobi24.co.ke,1652050328,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636282329%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_id_1_a7d6,/,True,5c7e9deee0929245.1636222519.1.1636222602.1636222519
.nairobi24.co.ke,1699354437,False,_ga,/,False,GA1.3.2009057997.1636218097
.nairobi24.co.ke,,False,_gat_gtag_UA_80909769_7,/,True,1
nairobi24.co.ke,1636284295,False,_wsm_ses_1_a7d6,/,False,*
