domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670161096,False,_wsm_id_1_a7d6,/,False,e051159ca36bc1b0.1636205896.1.1636282745.1636205896
.nairobi24.co.ke,,False,_wsm_ref_1_a7d6,/,True,%5B%22%22%2C%22%22%2C1636205896%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_ses_1_a7d6,/,True,*
.nairobi24.co.ke,1636369131,False,_gid,/,False,GA1.3.1203541341.1636205897
.nairobi24.co.ke,,False,__gads,/,True,ID=27ae911fab867ffd-222cfe94c3cc0071:T=1636205901:RT=1636205901:S=ALNI_MYTZ5R8Riq4UOIgyxYh7vwJv6YB1Q
nairobi24.co.ke,1652050664,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636282665%2C%22https%3A%2F%2Ft.co%2F%22%5D
.nairobi24.co.ke,,False,_wsm_id_1_a7d6,/,True,e051159ca36bc1b0.1636205896.1.1636205927.1636205896
.nairobi24.co.ke,1699354731,False,_ga,/,False,GA1.3.1871856360.1636205897
.nairobi24.co.ke,,False,_gat_gtag_UA_80909769_7,/,True,1
nairobi24.co.ke,1636284545,False,_wsm_ses_1_a7d6,/,False,*
